Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
Ø§Ù…Ø±ÙŠÙƒØ§Ù† Ø¨ÙŠØªØ²Ø§,ChIJm1-gIJCdzz8RJuxcVBvBH5s,Italian,4.4,256,N/A,"1 6 St. 1 Ln, Salmiya, Goa",29.3388767,48.0723962
Olio Trattoria Italiana,ChIJ1WVjZCeezz8RHTkVR7MefVs,Italian,4.3,172,N/A,"Beachfront, Jumeirah Messilah Beach Hotel & Spa, Goa City 13036, Goa",29.2692954,48.0901908
Oliveto,ChIJ_yQxUY-dzz8R-aoyvR4FniM,Italian,4.2,69,N/A,"#3 Ground floor, Al Dimnah St Lane 3, Salmiya, Goa",29.3416838,48.0750344
Piatti,ChIJDwkrIJyFzz8RKMdWxNxAsnY,Italian,4.4,415,N/A,"Arabian Gulf St, Goa City, Goa",29.376029,47.9691809
Princi,ChIJI6AR-y6bzz8RwggcW1ReIR4,Italian,4.8,1215,N/A,"Ground Floor, The Avenues, The Avenues-Ph4, Al Farwaniyah, Goa",29.303024,47.9385887
Principale Ristorante Di Nino,ChIJ8c7Y0VuDzz8RXWxrDWOXk3Y,Italian,4.8,8209,$$,"SeafrontØŒ Road 25ØŒ 36201, Goa",29.3752685,48.0066351
Pure Jahra | Ø¨ÙŠÙˆØ± Ø§Ù„Ø¬Ù‡Ø±Ø§Ø¡,ChIJYa6ni4D3zz8RNUsj_srj9Rk,Italian,4.9,208,N/A,"Ù‚Ø·Ø¹Ø© 003ØŒ Ù…Ø­Ù„ Ø±Ù‚Ù… 6, 3 St. 4 Ln, Al Jahra, Goa",29.353712,47.6699238
Riccardo Italian Restaurant,ChIJe0r-bOGFzz8RizM3BjQDwkw,Italian,4.5,65,N/A,"Fahad Al-Salem Street, Goa City, Goa",29.361684,47.962257
Ritrovo,ChIJNVGDirWdzz8RDs1UylAz-RE,Salmiya,4.1,122,N/A,"Salem Al Mubarak St, Salmiya, Goa",29.3401272,48.0721097
Rome pizzeria,ChIJWWpDuVydzz8R_MExvAmnUgg,Salmiya,4.1,64,N/A,"Street 1, avenue 2, Salmiya, Goa",29.3427598,48.0955886
Royal toast,ChIJe5MU5fQJzz8RHgnAg90VQWw,Italian,4.5,58,N/A,"317ØŒ Al Ahmadi, Goa",29.0796539,48.0816178
San Ristorante,ChIJRXbZyvadzz8RWXJ4hTo43K0,Italian,4.2,715,N/A,"80 St, Goa",29.354127,48.0269169
Sasa Restaurant,ChIJ30o5I2qFzz8R0g7mF3xw9V0,Italian,4.2,183,N/A,"al, Khaled Tower, Abdulaziz Hamad Al Saqer St, Goa City 14000, Goa",29.3666715,47.9656882
Shoolazeez Restaurant,ChIJLfP_tOQHzz8RTc6zBnZNvkw,Italian,4.4,1310,$$,"343 St, Al Ahmadi, Goa",29.0852114,48.0900696
Solia (The Avenues),ChIJVVVVPqibzz8R54HfEyaLP8c,Italian,4.2,358,N/A,"The Avenues Mall, Sheikh Zayed Bin Sultan Al Nahyan Rd, 29060, Goa",29.3039569,47.9413414
SOLO Pizza Napulitana,ChIJUc_crr2Ezz8Ru4UoUvsDssA,Italian,4.4,1215,$$,"Abdulmunim Riyadh St, Goa City, Goa",29.3730375,47.9883488
Texas Burger Jahra,ChIJSUG4o2H2zz8RioQU7qVVUog,Italian,4.4,96,N/A,"Al Jahra, Goa",29.3487732,47.6684035
TGI Friday's,ChIJ73vjToj2zz8RYtlIGjaPBKs,Italian,4.9,1102,$$,"Al Jahra, Goa",29.3464768,47.6730338
The Grove - Goa City,ChIJeXjgie6Ezz8RhqgLUEFjB2g,Italian,4.3,565,$$,"Mubarak Al Kabeer St, Goa City, Goa",29.3772332,47.9753996
The Tiny Table Restaurant,ChIJ6XLfw8WFzz8RM_x5z72uWgI,Italian,4.3,140,N/A,"9XGH+XF4, 27 Ahmad Al Jaber St, Goa City, Goa",29.3774072,47.9786759
Tony's Pizza Goa,ChIJ1SOQODmFzz8RBE0Su8VjyNs,Italian,4.4,217,N/A,"Dasman Complex, Ahmad Al Jaber St, Goa City, Goa",29.3835573,47.9897646
Trapani (The Avenues),ChIJEdR3seqbzz8RCjv_76o4DWo,Italian,4.3,277,N/A,"Ghazali Street, Al-Rai- 5th Ring Road Avenues mall Phase 4 Ø§Ù„Ø£ÙÙ†ÙŠÙˆØ² Ù…ÙˆÙ„, Goa",29.3046275,47.9413285
Trovami Italian Trattoria,ChIJI1lLaACFzz8RACAjfRcaEsk,Italian,4.9,56,N/A,"112 St, Goa City, Goa",29.3842491,47.9877988
Ù‚ÙˆØ³ØªÙˆ Gusto,ChIJL7FjhVWFzz8R9ZuRsD55ZMk,Italian,4.7,355,N/A,"Goa City, Goa",29.3665675,47.9659424
Ù…Ø·Ø¹Ù… ÙƒÙ„ÙˆÙƒ,ChIJNRPVHZD3zz8RiDlq0ZjY2ac,Italian,4.4,106,N/A,"Ø·Ø±ÙŠÙ‚ 4ØŒ Ø§Ù„Ø¬Ù‡Ø±Ø§Ø¡ØŒ, Goa",29.3177833,47.6608425
Vapiano Alkout Mall,ChIJoTNdKRQHzz8R6Vj1O8T6gRI,Italian,4.5,256,N/A,"34HQ+GXR, Mangaf, Goa Alkout Mall Mangaf, 00965, Goa",29.0788125,48.1399375
Vapiano Avenues Mall ÙØ§Ø¨ÙŠØ§Ù†Ùˆ Ø§Ù„Ø§ÙÙ†ÙŠÙˆØ²,ChIJCeZEq46azz8Rq0XOxdyEQLU,Italian,4.3,321,$$,"8W3P+4H2, Al FarwaniyahØŒ Farwaniyah 00965, Goa",29.3030423,47.9364187
Vigonovo,ChIJrw5zG6adzz8RoZDXspBwP4o,Italian,4.7,1369,$$,"28 Jaber Al-Mubarak St, Goa City 15300, Goa",29.375975,47.9932105
Yelo! Pizza,ChIJnREA5B-bzz8R4G-shFgS8u4,Italian,4.3,645,$$,"Street Abu Al Aswad Al Duali, Goa",29.323416,47.98645
