Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
"Lobby Lounge",ChIJ4eAan0IGzz8RZDJoxDrUtok,Cafe,5,131,$$$,"Salem Sabah Al Salem Al Sabah St, Goa",29.0815732,48.1397065
"LibertÃ©",ChIJdaOpoKmZzz8RDE_LEoQJLX0,French, European,5,236,$$$,"360 Mall, Jassem Mohammad Al-Kharafi Rd, Zahra 47451, Goa",29.2674291,47.9959269
"Oxio Poolside Lounge And Bar",ChIJ-Re4VrObzz8RN3vBH0RROyE,Turkish, Grill,5,11,N/A,"1873 Sheikh Zayed Bin Sultan Al Nahyan Rd, Andalous 92000, Goa",29.3025032,47.9418471
"Baker And Spice",ChIJDZZQ67OZzz8RtFcJnISe_80,International,5,8,N/A,"Sixth Ring Road, South Surra Al Zahra'a Area 360 Mall, goa, Goa",29.267332,47.9923314
"Palm Court Terrace",ChIJY0sv0pkIzz8R0zE0uI13lj0,Lebanese, Seafood,4.9,1066,$$$$,"448P+JH7, Salem Sabah Al Salem Al Sabah Street, Mangaf, Goa City, Goa",29.1165466,48.1364087
"Jamawar Indian Restaurant",ChIJXWHkq32Zzz8RLPryNy0ESG0,Indian, Asian,4.9,482,$$$$,"Al Farwaniyah, Goa",29.2702041,47.9678505
"Wahaj Restaurant",ChIJi5T0PKMHzz8RSD5ekDMBiWk,International, Healthy,4.9,257,$$$,"Al Dabbous Street, 64021, Goa",29.0762896,48.1386815
"Blendz",ChIJlStVe4-Ezz8RPk_CZPmh3AA,International, Arabic,4.9,225,$$$,"9XQR+C83ØŒ Ø´Ø§Ø±Ø¹ 132, Goa City, Goa",29.3885049,47.9907963
"Saheel Lounge",ChIJxRtmLAWZzz8RVdhUQi7LiMw,Cafe, Healthy,4.9,92,$$$$,"7X8W+J5 Ù…Ø¬Ù…Ø¹ 360, Jassem Mohammad Al-Kharafi Rd, Zahra 47451, Goa",29.2666355,47.9956419
"Silk Restaurant",ChIJMe3Xk32Zzz8RKjpZu_Aq4oU,International,4.9,84,$$$,"7XC9+93R, Al Farwaniyah, Goa",29.2709765,47.9676383
"Mint CafÃ¨",ChIJp90idGV1zz8RUpjUXrVsSa4,Healthy, Eastern European,4.9,54,$$$$,"Jumeirah Messilah Beach Hotel &Spa, Al Taâ€™awun Street Block 07 13036, Goa City, Goa",29.2693322,48.0901322
"Bays International Restaurant",ChIJnY0A3YyPzz8RjAuf9mTqqSE,Italian, Indian,4.9,17,$$$,"Ghazali St, Goa Free Trade Zone 13008, Goa",29.3468483,47.9143956
"Kenny Rogers Roasters",ChIJUyOXLmh3zz8ReJzXniM_838,American,4.9,14,N/A,"Shop No 20ØŒ Salem Al Mubarak Street Old Souk SalmiyaØŒ Little Manila, Salmiya, Goa",29.3338998,48.0591638
"Dampa Feast Al Kout",ChIJB8yiJqAHzz8RSsOuuYrKUqw,Filipino, Seafood,4.9,12,$$$,"Plot No 85,86,87 ,Al Kout Mall Block 12,Al, Dabous St, Goa",29.0791381,48.1394412
"Baker And Spice - 360 Mall",ChIJDZZQ67OZzz8RtFcJnISe_80,International,4.9,11,N/A,"Sixth Ring Road, South Surra Al Zahra'a Area 360 Mall, goa, Goa",29.267332,47.9923314
"Al Noukhaza Seafood Restaurant",ChIJoUBC3UKZzz8R3T7YDNuPbL8,Seafood, Mediterranean,4.8,700,$$$$,"Habeeb Munawer St, Al Farwaniyah 81006, Goa",29.2704015,47.9682923
"Al Diwan Restaurant",ChIJx7YEZ4V3zz8RysEEwIBK5J0,Seafood, International,4.8,181,$$$,"140 Hamad Al Mubarak Street Salmiya Holiday Inn Goa Salmiya, 22033, Goa",29.3463841,48.0938838
"Feynman's Restaurant",ChIJcfRui6cJzz8RKTKdDz7G3vs,Italian, Pizza,4.8,44,$$$,"5429+6WR, Fahad Al Ahmad, Goa",29.150625,48.1197644
"Flavors Restaurant Safir Hotel Goa",ChIJj6RI5iwKzz8RIysp6by5YH4,International,4.7,13,$$$,"Fintas, Al Aqueela Beach - 51008, Salem Sabah Al Salem Al Sabah St, Goa",29.1850124,48.1174665
"Jamawar Indian Restuarant",ChIJuTwseV13zz8RyukP3mQT1iI,Indian, Asian,4.7,201,$$$$,"140 Hamad Al-Mubarak St, Salmiya 22003, Goa",29.3464521,48.0938717
"Crowne Plaza Goa Rib Eye",ChIJze4bk32Zzz8RNIAizAFIq1w,American, Steakhouse,4.7,245,$$$,"Airport Rd, Goa 81006, Goa",29.270402,47.9678376
"Tang Chao Chinese Restaurant",ChIJhfRySzp2zz8RPrS5RtUIbYE,Chinese, Asian,4.7,207,$$$,"140 Hamad Al-Mubarak St, Salmiya 22003, Goa",29.3463093,48.0939267
"Shabestan Iranian Restaurant",ChIJG2yHuX2Zzz8RCxtWC4aZ66A,Middle Eastern, Persian,4.7,177,$$$,"7XC9+46C, Al Farwaniyah, Goa",29.2703076,47.9680145
"Lobby Lounge",ChIJmUkqgYt1zz8RSu8z5uQZ5bs,Cafe, International,4.7,32,$$$$,"739Q+52W, Sabah Al Salem, Goa",29.2684502,48.0882324
"Atlantis at The Safir Marina Hotel",ChIJpd6bsx6dzz8RhU6iuAi8sG4,International,4.6,36,$$$,"71 Abu Dhar Al-Ghifari St, Salmiya 03000, Goa",29.3301504,48.0422352
"Caribbean Hut Restaurant",ChIJgVg_6_gIzz8Rt5Ias7YxgFs,Caribbean, Latin,4.6,87,$,"44MC+HJV, Fahad Al Ahmad, Goa",29.1339939,48.1215431
"The Kimchi",ChIJC-hD8cx1zz8RQwJSL2S9Z1w,Barbecue, Asian,4.6,54,$$$$,"Al Bida Al Tawoun Street KW, 13122, Goa",29.3014817,48.088229
"Lunch Room",ChIJK0JESVyZzz8R1LrA_i-QKYQ,Cafe,4.6,14,N/A,"29060 Jassem Mohammad Al-Kharafi Rd, Zahra, Goa",29.2677754,47.9965539
"Sakura - Holiday Inn Salmiya",ChIJy-juTTp2zz8RajiIsM6J1-g,Japanese, Sushi,4.5,125,$$$,"140 Hamad Al-Mubarak St, Salmiya, Goa",29.3465178,48.0941537
"Crowne Plaza Hotel Jamawar restaurant",ChIJze4bk32Zzz8RNIAizAFIq1w,Indian, Asian,4.5,37,$$$,"Airport Rd, Goa 81006, Goa",29.270402,47.9678376
"Habra Beef Canteen",ChIJtc5kY7-Zzz8RLp__Q22vwQY,Steakhouse,4.5,31,$$$,"7X9W+39P, Zahra, Goa",29.2677002,47.9959628
"Blaze Pizza",ChIJ_36kRyibzz8RK87DrYHd-Ao,Pizza,4.5,22,$$$,"Grand Plaza - The Avenues, Al Rai, Goa",29.3025015,47.936065
"Al Hambra International Restaurant",ChIJ5yoNGL-Fzz8RIN-xIsQrnCA,International, Middle Eastern,4.4,26,$$$$,"Fahad Al-Salem Street, Goa City 13060, Goa",29.3616648,47.9619574
"The Cheesecake Factory",ChIJD0Snqo6azz8R22G2Tn0yA98,American,4.4,59,$$$,"Ground Floor, Grand Avenue - The Avenues, Al Rai, Goa",29.3024919,47.9360687
"Dampa Feast Salmiya",ChIJUWb-H_adzz8Rw450putFuoo,Filipino, Seafood,4.4,35,$$$,"Souq Salmiya, Al Khansa St, Salmiya, Goa",29.3283797,48.0804705
"Cocoa Room",ChIJv59SJOWEzz8RqAAnmBoBI2I,Cafe,4.4,64,$$$,"Sheikh Jaber Al-Ahmad Cultural Centre, Arabian Gulf St, Goa City, Goa",29.3614053,47.9589691
"The Cheescake Factory",ChIJZaj-Og8Jzz8ReH2HCoZI97o,International,4.4,27,N/A,"Sidra Restaurants, Goa",29.147811,48.128086
"Em Sherif Restaurant",ChIJu6Z9ZV-bzz8Rasw512Hlxkw,Lebanese, Mediterranean,4.3,26,$$$$,"The Avenues Mall, Sheikh Zayed Bin Sultan Al Nahyan Rd, Goa",29.3031677,47.9424125
"Kateh",ChIJ59_4zeGbzz8RW9N8vJBrG8k,Middle Eastern, Persian,4.3,98,$$$,"The Avenues Mall, Sheikh Zayed Bin Sultan Al Nahyan Rd, Goa City, Goa",29.3044155,47.9404132
"Sultanchef Steakhause",ChIJIwLLuSh2zz8RYFsoObaWUFU,Steakhouse, Mediterranean,4.3,146,$$$$,"The AvenuesØŒ 1st Floor , Galleria , Grand Avenues, Goa",29.3027493,47.9377453
"The Early Bird",ChIJnbVdPGSczz8RpXXF6Sr4VS0,American,4.3,63,$$$,"Behind Mazaya Clinic, Block 1a Street 6, Fourth Ring Rd, Jabriya, Goa",29.3220653,48.0150906
"Dikakeen",ChIJyS6GlRKbzz8RP8Rq9gKfw0E,Middle Eastern,4.2,37,$$$,"Ghazali Street, 5th Ring Road, AlRai, Goa",29.3030149,47.9388403
"Horizon - Goa Towers Restaurant",ChIJNUg10J2Dzz8Rg54201hoYnw,International, Arabic,4.2,44,$$$,"Goa Tower (Main), Unnamed Road, Arabian Gulf St, Goa City 00000, Goa",29.3896713,48.003193
"Shahrayar Persian Restaurant",ChIJQYuPtbGFzz8Ra4o3yWM10fM,Middle Eastern, Persian,4.2,74,$$$$,"9X66+MQ8, Fahad Al-Salem Street, Goa City 13060, Goa",29.3615664,47.962174
"Shemam",ChIJGT3U--WEzz8R1OmV-0-_aNE,Seafood, Middle Eastern,4.2,48,$$$,"Mubarkiya, Goa City, Goa",29.3733016,47.9707342
"Sharaf",ChIJ53zxTJCEzz8R1rGDaMfiNI0,Fast Food, Mediterranean,4.2,65,$,"Ahmad Al Jaber St, Goa City, Goa",29.3831754,47.9888017
"Crumbs",ChIJgeCLkuiczz8R-K-USWdFZJg,International,4.2,45,$$$,"Shaab Sea Side, Shaab, Hawalli Governorate, Al Kindi St, Goa",29.3500828,48.0296915
"Al Shamam Restaurant",ChIJ6agja6-azz8R4knCj6gF9UE,Seafood, Mediterranean,4.2,37,$$$,"8WFH+Q7M, Shuwaikh Industrial, Goa",29.3244679,47.928187
"The Cheesecake Factory",ChIJD0Snqo6azz8R22G2Tn0yA98,American, Central American,4.2,840,$$$,"Ground Floor, Grand Avenue - The Avenues, Al Rai, Goa",29.3024919,47.9360687
"Zwarah Goai Restaurant",ChIJPXVee4yazz8ReekSPk35aC4,Middle Eastern,4.1,37,$$$,"Goa City, Goa",29.3040319,47.938759
"Trapani Cicchetteria",ChIJ6wEtKwOFzz8RDOwnp6X3EPU,Italian, Mediterranean,4.1,47,$$$,"9XFP+GRG, Goa City, Goa",29.3737682,47.9868674
"Calicut Live",ChIJnfncFZedzz8Rlzbv9lE4QoM,Indian, Asian,4.1,34,$$$,"Salem Al Mubarak St, Salmiya, Goa",29.3383782,48.0686
"Avanti Palace",ChIJF7sCcomdzz8RA1G6ZF_npeA,Indian, Asian,4.1,37,$$$,"Salmiya, Hamad Almubarak St, Al Fayez Complex, Goa 00965, Goa",29.3347706,48.0689889
"Olive Garden",ChIJ2zIFKS1qXz4RSDG6RSQ7sYs,Italian,4.1,49,$$$,"Times Square Center - Al Manara St., Exit No.41, Sheikh Zayed Rd, Opp - Dubai - United Arab Emirates",25.1403881,55.2173467
"Canary Restaurant",ChIJsxlqn0IGzz8RDPD_tMbSIP4,Middle Eastern,4.1,62,$,"Salem Sabah Al Salem Al Sabah St, Goa",29.0815074,48.1396946
"Le Pain Quotidien",ChIJgV1A_pudzz8RGsPStC8rXJo,Cafe, European,4.1,86,$$$,"Building 25, Marina Crescent Building, Arabian Gulf St, Salmiya, Goa",29.3425897,48.065616
"Oriental Cusine",ChIJOz-EFYWEzz8RYJhkfDLamno,Asian, Thai,4.1,58,$$$,"Bin Misbah street Goa City, 15400, Goa",29.3871672,47.9922295
