Restaurant Name,Rating,Number of Reviews,Location,Cuisine Type,Price Range
Lobby Lounge,5,131,Fahaheel,Cafe,$$ - $$$
Sushi - Japanese Restaurant,5,98,Goa City,"Japanese, Sushi",$$ - $$$
Libert̩,5,236,Al Zahra,"French, European",$$ - $$$
Huqqabaz Goa,5,33,Salmiya,"International, Turkish",$$ - $$$
Marco's Burger,5,24,Goa City,,
AVA Restaurant,5,13,Goa City,Mediterranean,$$$$
Oxio Poolside Lounge And Bar,5,11,Goa City,"Turkish, Grill",
Baker And Spice,5,8,Farwaniya,International,
Teatro Restaurant,4.9,1588,Fahaheel,International,$$ - $$$
Palm Court Terrace,4.9,1066,Fahaheel,"Lebanese, Seafood",$$$$
AL Ahmadi International Restaurant,4.9,567,Farwaniya,"International, Mediterranean",$$ - $$$
Jamawar Indian Restaurant,4.9,482,Goa City,"Indian, Asian",$$$$
Ayam Zaman Crowne Plaza Hotel,4.9,434,Farwaniya,"Lebanese, Mediterranean",$$ - $$$
Stambul,4.9,350,Al Zahra,Turkish,$$$$
Principale Ristorante Di Nino,4.9,341,Goa City,"Italian, Neapolitan",$$ - $$$
Wahaj Restaurant,4.9,257,Fahaheel,"International, Healthy",$$ - $$$
Atrium Restaurant & Lounge,4.9,240,Goa City,International,$$ - $$$
Blendz,4.9,225,Goa City,"International, Arabic",$$ - $$$
Together & Co. Restaurant,4.9,179,Goa City,"American, International",$$ - $$$
Saheel Lounge,4.9,92,Goa City,"Cafe, Healthy",$$$$
Silk Restaurant,4.9,84,Goa City,International,$$ - $$$
Mint Caf̬,4.9,54,Goa City,"Healthy, Eastern European",$$$$
Garden Caf̩,4.9,25,Goa City,International,$$$$
ROKA Goa,4.9,22,Goa City,"Japanese, Sushi",$$$$
Bays International Restaurant,4.9,17,Goa City,"Italian, Indian",$$ - $$$
Kenny Rogers Roasters,4.9,14,Salmiya,American,
Dampa Feast Al Kout,4.9,12,Goa City,"Filipino, Seafood",$$ - $$$
Baker And Spice - 360 Mall,4.9,11,Al Zahra,International,
Pepper Steakhouse,4.8,395,Goa City,"Steakhouse, Grill",$$$$
Olio Trattoria Italiana,4.8,421,Goa City,"Italian, Pizza",$$ - $$$
Al Noukhaza Seafood Restaurant,4.8,700,Farwaniya,"Seafood, Mediterranean",$$$$
Soul and Spice,4.8,242,Goa City,Indian,$$$$
Mei Li,4.8,178,Goa City,"Asian, Szechuan",$$$$
Al Diwan Restaurant,4.8,181,Salmiya,"Seafood, International",$$ - $$$
300F Smokehouse Restaurant,4.8,30,Goa City,"American, Steakhouse",$$ - $$$
Gang Nam Asian Cuisine,4.8,31,Mahboula,"Korean, Tibetan",$$ - $$$
Feynman's Restaurant,4.8,44,Mahboula,"Italian, Pizza",$$ - $$$
Flavors Restaurant Safir Hotel Goa,4.7,13,Goa City,International,$$ - $$$
Jamawar Indian Restuarant,4.7,201,Salmiya,"Indian, Asian",$$$$
Crowne Plaza Goa Rib Eye,4.7,245,Goa City,"American, Steakhouse",$$ - $$$
Tang Chao Chinese Restaurant,4.7,207,Salmiya,"Chinese, Asian",$$ - $$$
Shabestan Iranian Restaurant,4.7,177,Goa City,"Middle Eastern, Persian",$$ - $$$
"Maki, Burj Jasim",4.7,98,Goa City,"Japanese, Sushi",$$ - $$$
Lobby Lounge,4.7,32,Goa City,"Cafe, International",$$$$
