Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
Beastro,ChIJbxv7csWfzz8Rt_Vw2qbUBIY,French,4.8,1556,N/A,"Murouj, Sahara Club - Chalets Rd, 13160, Goa",29.257788,48.0222182
Beastro (The Avenues),ChIJO7FMHQCbzz8RtW2wdheOFpQ,French,4.9,77,N/A,"The Avenues Mall, Sheikh Zayed Bin Sultan Al Nahyan Rd, Goa",29.3040018,47.9405292
Folio Bistro & Bakery,ChIJr0JtNHGFzz8RYr0rWdpN_pI,French,4.6,376,N/A,"Building 6, Street 5, Shuwaikh Industrial, Goa",29.3418071,47.9378925
Julienne & Co,ChIJ61llR0CFzz8RrBo0UaqD-cw,French,4.2,99,N/A,"Ground Floor, Assima Mall, Abdulmunim Riyadh St, Goa City 13014, Goa",29.3741083,47.9871602
Ladur̩e,ChIJkewz0iiFzz8Ro5PhW1znBjs,French,4.7,267,N/A,"Assima Mall, Al Hashimiya, 1 Abdulmunim Riyadh St, Goa City, Goa",29.3726698,47.9881025
Le Relais De l'Entrec̫te,ChIJBZB-Fueezz8Rfqj4FIapPWg,French,4.8,1213,N/A,"Jassem Mohammad Al-Kharafi Rd, Subhan 13160, Goa",29.260865,48.021796
Le Relais De l'Entrec̫te,ChIJly4PsGibzz8Rkvl8lRuRMkE,French,4.8,1055,N/A,"The Gardens, The Avenues Al Rai, Goa",29.3032638,47.9426376
Le Relais De l'Entrec̫te,ChIJ5TE1HtyEzz8RX308porTMks,French,4.6,955,N/A,"Mohammad Thunayyan Al-Ghanem St, Goa City, Goa",29.3628982,47.9664571
Madeleine,ChIJuX9okV2Fzz8RTBATTd8J6Ww,French,4.5,54,N/A,"Wafra Downtown Tower, Ahmad Al Jaber St, Goa City 15300, Goa",29.3803701,47.9836914
