Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
MHAMMASH (Sharq),ChIJ8UCiSpCEzz8RSBqyxTzps7U,Middle Eastern,4.2,297,N/A,"Ø¨Ø±Ø¬ 7 , Ø§Ù„Ø¯ÙˆØ± Ø§Ù„Ø±Ø§Ø¨Ø¹ ØŒ Ù…Ù‚Ø§Ø¨Ù„ Ù…Ø®ÙØ± Ø´Ø±Ù‚ØŒ, Ahmad Al Jaber St, Goa City, Goa",29.3799969,47.981412
Naranj,ChIJvdyaZ1R3zz8RIGP0zjhhSfg,Middle Eastern,4.2,1784,$$$,"Olympia Mall, Arabian Gulf St, Salmiya, Goa",29.3480341,48.0887774
Royal Beirut,ChIJ92UDUc_2zz8RTK16xaoqEOQ,Middle Eastern,4.3,117,N/A,"3 Rd, Al Jahra, Goa",29.3140463,47.6598377
Samraa Beirut,ChIJKSUmfyV2zz8R8TaQ84LZLqE,Middle Eastern,4.4,189,N/A,"83WQ+G27, Salmiya, Goa",29.34632,48.0876283
Sapphire restaurant,ChIJATOSuyUHzz8RfuI-0LFjdrs,Middle Eastern,4.2,104,$,"25 St, Mangaf, Goa",29.0934679,48.1340748
Sawari restaurant Ù…Ø·Ø¹Ù… Ø³ÙˆØ§Ø±ÙŠ,ChIJhfwSQgAHzz8Rc1GLAYip4B0,Middle Eastern,4.4,148,N/A,"33PM+83C, Al Ahmadi, Goa",29.0857179,48.0826041
Shoolazeez Restaurant,ChIJLfP_tOQHzz8RTc6zBnZNvkw,Middle Eastern,4.4,1310,$$,"343 St, Al Ahmadi, Goa",29.0852114,48.0900696
T Grill Restaurant Fahaheel,ChIJi40BOHAHzz8RuIRdLLXBK2Q,Middle Eastern,4.6,1410,$$,"Next to Thakkara Restaurant and Lulu Center (Old, Street 63, 66051, Goa",29.0800902,48.137909
T Grill Restaurant Salmiya,ChIJcXXVAQCdzz8R3rCkNW878G4,Middle Eastern,4.8,1102,N/A,"Near Mahameed and Pizza Hut, Old Souk, Bareh Salem Street, Salmiya, Goa",29.333757,48.0584732
Ù…Ø´ÙˆÙŠØ§Øª Ø¨ÙˆØ­Ø³Ù† AboHassan Grill,ChIJA4hZQzadzz8Rt-3W6rWxzbI,Middle Eastern,4.4,259,$$,"83C6+X5G, Salmiya, Goa",29.3224512,48.0603127
Ù…Ø·Ø¹Ù… Ø£Ù„Ù…ÙŠÙ‘Ø§Ø³ | Almayass Restaurant,ChIJsVOdNQZ2zz8RH5DlnwZHWj4,Middle Eastern,4.2,745,$$,"Khaled Zain Al-Khaled Complex, Street 3, Al-Bidaa, Goa",29.3383083,48.0508715
Ù…Ø·Ø¹Ù… Ø®Ù„ÙŠØ¬ Ø¹Ø¯Ù† Ù„Ù„Ù…Ø£ÙƒÙˆÙ„Ø§Øª Ø§Ù„ÙŠÙ…Ù†ÙŠØ© Ùˆ Ø§Ù„ÙƒÙˆÙŠØªÙŠØ©,ChIJI3pv5_kHzz8RX28PVG_rBtI,Middle Eastern,4.3,55,N/A,"Ù‚Ø·Ø¹Ø© 8ØŒ, Al Ahmadi, Goa",29.0811236,48.081719
Ù…Ø·Ø¹Ù… ØµÙˆÙŠØ®Ø§Øª Ø§Ù„Ø¬Ù‡Ø±Ø§Ø¡,ChIJc1VmUwD1zz8RQfBYPxLhSQo,Middle Eastern,4.4,198,N/A,"St, 3 Lane 5, Al Jahra, Goa",29.3411904,47.674104
Ù…Ø·Ø¹Ù… Ø­ØµÙŠØ± Ù„Ù„Ù…Ø£ÙƒÙˆÙ„Ø§Øª Ø§Ù„ÙƒÙˆÙŠØªÙŠØ© Haseer Restaurant,ChIJw5zGUwCFzz8R0CCwLntbUZw,Middle Eastern,4.8,1260,N/A,"Al Mubarakiya, Goa City 00965, Goa",29.3720461,47.9733387
Ù…Ø·Ø¹Ù… ÙˆÙØ±Ù† Ø§Ù„Ø±ÙŠÙ Ø§Ù„Ù„Ø¨Ù†Ø§Ù†ÙŠ Lebanese Countryside Restaurant,ChIJ8cjjBB-dzz8RjDX_6bdaECg,Middle Eastern,4.2,138,$,"Salmiya, Goa",29.3354723,48.0578966
Ù…Ø·Ø¹Ù… Ù‚ØµØ± Ù…Ù„Ùƒ Ø§Ù„Ù…Ù†Ø¯ÙŠ,ChIJUdLX6rv3zz8RwTDTYBnUsqA,Middle Eastern,4.5,208,$,"8M76+CMX, Al Jahra, Goa",29.3136096,47.6617223
Ù…Ø·Ø¹Ù… ÙØ±ÙˆØ¬ Ø²Ø§Ø¯ Ø§Ù„Ø®ÙŠØ± Ø§Ù„Ù„Ø¨Ù†Ø§Ù†ÙŠ,ChIJz51dagCdzz8Re9zlGRfFv7o,Middle Eastern,4.5,235,N/A,"82H6+WC8, Hawally, Goa",29.3296531,48.0112435
Ù…Ø·Ø¹Ù… ÙƒÙˆÙ†ØªÙŠÙ†Ù†ØªØ§Ù„ Ù„Ù„Ù…Ø£ÙƒÙˆÙ„Ø§Øª Ø§Ù„Ø¨Ø­Ø±ÙŠØ©,ChIJF8aanY2bzz8RmjuPMDyt9Pc,Middle Eastern,4.4,188,N/A,"Al Farwaniyah, Goa",29.2765216,47.9669578
Ya mal Alsham Restaurant,ChIJrdkOIBadzz8RVRL6UOTL0FI,Middle Eastern,4.2,176,$,"Ahmad Bin Toloun St, Hawally, Goa",29.3303281,48.0208952
Zaatar W Zeit - E Mall,ChIJPRFV-PCczz8Rd1AjFv-y0_s,Middle Eastern,4.2,169,N/A,"Hawally E-Mall G Floor, Hawally 13056, Goa",29.340479,48.028754
Zahrat Tunis Restaurant,ChIJ5_3KZpaczz8R8EdipwqW0TA,Middle Eastern,4.2,510,$$,"Ù…Ø¬Ù…Ø¹ Ø§Ù„Ø£Ø·Ø¨Ø§Ø¡, Beirut Street, Hawally 30004, Goa",29.3367758,48.0221725
